Initiative,Operating,Project_Definition,Project_Name,Actual_YTD_sum,Plan_FY_sum,Forecast_sum
Not assigned,Other Operating,R-10692,On Farm Expt Digiscape FSP In-kind Data6,0,0,0
Not assigned,Other Operating,R-10819,Jobs Explorer,124,0,0
Not assigned,Other Operating,R-11479,Julius Award - Delaney,0,35000,0
Not assigned,Other Operating,R-11758,Pr 18-07 SPA: Predictive Analytics for R,0,0,0
Not assigned,Other Operating,R-11983,SCF Downscaling Digiscape FSP (Data61),0,0,0
Not assigned,Other Operating,R-12521,ESA Business as Usual and Enhancements,0,6000,0
Not assigned,Other Operating,R-12643,Robust Learning for Decision Making,2936,0,0
Not assigned,Other Operating,R-13030,Your Data Your Regions 2,0,5000,0
Not assigned,Other Operating,R-13036,Monash - IITB Students,0,42858,0
Not assigned,Other Operating,R-13293,Workflow Optimisation,0,6000,0
Not assigned,Other Operating,R-13666,Risk Modelling Methodologies for NESA,1106,6027,4921
Not assigned,Other Operating,R-13854,Spark licensing,0,1500,0
Not assigned,Other Operating,R-13927,An improved dry eucalypt forest fire spr,138,3000,0
Not assigned,Other Operating,R-13941,DoEE PDF-Knowledge Graph Processing,937,10000,0
Not assigned,Other Operating,R-13973,R and Data mining course,76,0,0
Not assigned,Other Operating,R-14063,Student Agreement - Post Grad,3500,47500,10000
Not assigned,Other Operating,R-14072,Social Watch 2.0 Phase 2,0,25000,0
Not assigned,Other Operating,R-14173,CRP- Analytics & Decsion Sciences,0,6712,0
Not assigned,Other Operating,R-14261,PBSP Schedule 9 - Data Transition Part B,0,700,0
Not assigned,Other Operating,R-90148,Analytics Program - Travel and Operating,5771,0,0
Not assigned,Other Operating,R-90149,Analytics Program - Small Consultancies,0,0,0
Not assigned,Other Operating,R-90150,Analytics Program R02P05 - IP Costs,0,0,0
Not assigned,Other Operating,R-90152,"Analytics - Visitor, Stud, Fellow, Inter",0,0,0
Not assigned,Other Operating,R-90546,CRP- Analytics,44,0,0
Not assigned,Other Operating,R-90589,DS - CRP,3500,205123,0
Not assigned,Other Operating,R-90676,Analytics Program - Awards & Grants,0,0,0
Peter Toscas,Other Operating,R-91112,Data-Driven Enterprises Group - Operatin,7930,54000,51808
Richard Nock,External Revenue,R-11055,On-Board health Monitoring,-88515,0,0
Richard Nock,External Revenue,R-90432,Machine Learning Group Operating Cost,0,0,0
Richard Nock,Other Operating,R-11055,On-Board health Monitoring,298,0,0
Richard Nock,Other Operating,R-90432,Machine Learning Group Operating Cost,20372,114001,-2130
Risklab,External Revenue,R-03815,Fenics,-147080,-323398,-176318
Risklab,External Revenue,R-09886,ARC Linkage with Monash and Challenger B,-12000,0,0
Risklab,External Revenue,R-12324,Ruralco/Wex Water - options instruments,0,0,0
Risklab,External Revenue,R-12579,Monash Master of Financial Maths Interns,0,-2,0
Risklab,Other Operating,R-03815,Fenics,8794,51000,21206
Risklab,Other Operating,R-09886,ARC Linkage with Monash and Challenger B,0,0,0
Risklab,Other Operating,R-12324,Ruralco/Wex Water - options instruments,0,0,0
Risklab,Other Operating,R-12579,Monash Master of Financial Maths Interns,103,26000,20897
Risklab,Other Operating,R-13848,Initiative: Risklab,3176,10000,9712
Tiffany Karitzis,Other Operating,R-90939,STEM Engagement Analytics,0,0,0
Transport and Logistics,External Revenue,R-08830,6203000 - Advanced Data Analytics in Tra,-100109,-204000,-103891
Transport and Logistics,External Revenue,R-09084,Critical water mains failure prediction,0,-60000,0
Transport and Logistics,External Revenue,R-10940,TfNSW On Demand Transport,0,0,0
Transport and Logistics,External Revenue,R-11084,Predictive Analytics for Acer,0,0,0
Transport and Logistics,External Revenue,R-11104,Corrosion analytics,0,0,0
Transport and Logistics,External Revenue,R-13665,Pr19-4 NSW-SP: Defect Detection (ML),-62500,-100000,-37500
Transport and Logistics,Other Operating,R-08830,6203000 - Advanced Data Analytics in Tra,0,0,0
Transport and Logistics,Other Operating,R-09084,Critical water mains failure prediction,0,0,0
Transport and Logistics,Other Operating,R-11685,Industry PhD - Bo Wang,0,14000,0
Transport and Logistics,Other Operating,R-13223,DVR Prof Yulin Jiang,0,0,0
Transport and Logistics,Other Operating,R-13857,Initiative: Transport and Logistics,0,14000,0
Transport and Logistics,Other Operating,R-90433,Transport Analytics - Operating Costs,24513,84000,78662
